dataset,algorithm,fold,n_train,n_test,train_pos_rate,test_pos_rate,fit_seconds,roc_auc,pr_auc,brier,ece,precision_at_05,recall_at_05,f1_at_05,balanced_accuracy_at_05
portugal,LogisticRegression,2,107288,11921,0.3707683990753859,0.3707742639040349,83.74265820003347,0.9032848862987197,0.8632348241148733,0.11875957405671374,0.01780995683296237,0.8053868497491418,0.6900452488687783,0.7432679420007311,0.7958958413388019
portugal,LogisticRegression,3,107288,11921,0.3707683990753859,0.3707742639040349,57.24380239995662,0.9008735336042676,0.8568823117569021,0.12117653394006084,0.025457222820068525,0.7860811504879301,0.6925339366515837,0.7363483281212413,0.7907410384497753
portugal,LogisticRegression,4,107288,11921,0.3707683990753859,0.3707742639040349,74.80626900005154,0.9020003667685939,0.8615448036535411,0.11941699437423615,0.023289596926579174,0.8054535920293655,0.6950226244343891,0.7461743988341025,0.7980512402267933
portugal,LogisticRegression,5,107288,11921,0.3707683990753859,0.3707742639040349,75.58815630001482,0.89725523776317,0.8548619071268732,0.12197482834925766,0.01799231604936463,0.8011317704122878,0.6726244343891403,0.7312753658836552,0.78711877632002
portugal,LogisticRegression,6,107288,11921,0.3707683990753859,0.3707742639040349,75.89688610000303,0.9008855832796954,0.8572468392108245,0.1213114081980402,0.029221980145283096,0.8108257387462027,0.6642533936651583,0.7302574306678273,0.7864661182430578
portugal,LogisticRegression,7,107288,11921,0.3707683990753859,0.3707742639040349,67.05867880000733,0.9003113310382144,0.8607718557467936,0.12121789576166955,0.017776837896146903,0.801859229747676,0.6830316742081448,0.7376908979841172,0.7917891339978199
portugal,LogisticRegression,8,107288,11921,0.3707683990753859,0.3707742639040349,61.497151399962604,0.9038505122393938,0.8664757596608773,0.11862075371974186,0.021679855066698086,0.8089976322020521,0.6957013574660633,0.7480841746746137,0.7994571312060352
portugal,LogisticRegression,9,107288,11921,0.3707683990753859,0.3707742639040349,72.18258050002623,0.9015995303190343,0.8612634571654652,0.12066800898957683,0.023261919936633457,0.8069002407060711,0.682579185520362,0.7395514156146586,0.7931626763490358
portugal,LogisticRegression,10,107289,11920,0.3707742639040349,0.3707214765100671,51.816363199963234,0.900836107874762,0.8599509993898165,0.12047271173963564,0.018131284927723867,0.801146729215533,0.695632496039828,0.7446705426356589,0.7969563626712939
portugal,DecisionTree,1,107288,11921,0.3707683990753859,0.3707742639040349,0.5099927000119351,0.8741840605264698,0.7945952175999057,0.14025807843074686,0.07259629598290905,0.6852535457548087,0.7979638009049774,0.7373262255670534,0.7909962985327447
portugal,DecisionTree,2,107288,11921,0.3707683990753859,0.3707742639040349,0.4922413000022061,0.8743064423989321,0.7963465608684064,0.13920791402087632,0.07076506786369686,0.6924148914991041,0.7868778280542986,0.7366303081647781,0.7904526455296157
portugal,DecisionTree,3,107288,11921,0.3707683990753859,0.3707742639040349,1.012811699998565,0.8782338222173695,0.8004889365672714,0.13809685012593984,0.07246541958027457,0.6936404804095294,0.7970588235294118,0.7417622907674492,0.7948099076985814
portugal,DecisionTree,4,107288,11921,0.3707683990753859,0.3707742639040349,0.48755469999741763,0.8781715077507011,0.8022329146655669,0.13880726207747843,0.07847626741741398,0.6984664409480184,0.7934389140271493,0.7429297743883063,0.7957995796638879
portugal,DecisionTree,5,107288,11921,0.3707683990753859,0.3707742639040349,0.4922076999791898,0.8694857729376656,0.7882361248390459,0.14199619067626806,0.06944546698586142,0.6822834645669291,0.7841628959276018,0.7296842105263158,0.7844957927178338
portugal,DecisionTree,6,107288,11921,0.3707683990753859,0.3707742639040349,0.516178099962417,0.874040625654136,0.7965548617048402,0.1395584435413093,0.07163589285107579,0.6900607723975691,0.7963800904977375,0.7394181283478626,0.7928040967086741
portugal,DecisionTree,7,107288,11921,0.3707683990753859,0.3707742639040349,0.5061303999973461,0.8746527159877929,0.7982936466626733,0.13872127155276712,0.07241099867080623,0.7050213458019923,0.7846153846153846,0.7426919370382268,0.7955872550326624
portugal,DecisionTree,8,107288,11921,0.3707683990753859,0.3707742639040349,0.47791189997224137,0.8787241489973282,0.801848282931846,0.13746750152360798,0.072346788149212,0.6942262372348782,0.7997737556561086,0.7432716568544996,0.7961007159829669
portugal,DecisionTree,9,107288,11921,0.3707683990753859,0.3707742639040349,0.49517330003436655,0.8740656298617198,0.7971097004696953,0.13978004989646697,0.07177751234292767,0.7015695993391161,0.7685520361990951,0.7335348736773915,0.7879555274982943
portugal,DecisionTree,10,107289,11920,0.3707742639040349,0.3707214765100671,0.5016748000052758,0.8802929014307483,0.8021506038179054,0.13701407967561452,0.0730559575443546,0.694613124387855,0.8024439918533605,0.744645107097858,0.7973025185236673
portugal,GaussianNB,1,107288,11921,0.3707683990753859,0.3707742639040349,0.24528299999656156,0.8113114933091877,0.7461692027331,0.2889465629110901,0.2889453433651112,0.5600125845524618,0.8054298642533937,0.660666233645727,0.7162731243677314
portugal,GaussianNB,2,107288,11921,0.3707683990753859,0.3707742639040349,0.26914799999212846,0.8179046413721007,0.7541269893536533,0.27931137351354396,0.2783194775772042,0.5674909434556623,0.815158371040724,0.6691429102052187,0.7245369244884996
portugal,GaussianNB,3,107288,11921,0.3707683990753859,0.3707742639040349,0.2710852000163868,0.8155359526723738,0.7476564456094451,0.2813897131448802,0.2794210289155173,0.5694866464097234,0.8056561085972851,0.6672912957931229,0.7233853133307716
portugal,GaussianNB,4,107288,11921,0.3707683990753859,0.3707742639040349,0.2310062000178732,0.8119273840411023,0.7525619852032297,0.2942434935773038,0.29325124133214997,0.5523721503388787,0.8113122171945701,0.657258064516129,0.7119486029313739
portugal,GaussianNB,5,107288,11921,0.3707683990753859,0.3707742639040349,0.24535119999200106,0.8124742492856156,0.7416728899060003,0.2853749791247862,0.28421800291026494,0.5621781869246373,0.815158371040724,0.6654354049312032,0.7205374577507313
portugal,GaussianNB,6,107288,11921,0.3707683990753859,0.3707742639040349,0.2420068999635987,0.8169954714936953,0.7528095537914737,0.28479485275623695,0.28416953015428836,0.5638146449470188,0.8065610859728507,0.6636879828725681,0.7194383886070093
portugal,GaussianNB,7,107288,11921,0.3707683990753859,0.3707742639040349,0.24680339999031276,0.8164376574827731,0.7516452236160529,0.28538559811835845,0.2833037756487298,0.5630410829529356,0.8092760180995475,0.6640675763482781,0.7195960146490272
portugal,GaussianNB,8,107288,11921,0.3707683990753859,0.3707742639040349,0.243292500032112,0.8064878227397735,0.7420279985996392,0.2961841200765451,0.2954428052370383,0.5512482555434951,0.8042986425339367,0.6541540160088325,0.7092417089486107
portugal,GaussianNB,9,107288,11921,0.3707683990753859,0.3707742639040349,0.26334720000158995,0.8163650427303509,0.7480447773492724,0.28281420136966323,0.2807670682379704,0.5650329877474081,0.8138009049773756,0.666975709252735,0.7223250625406809
portugal,GaussianNB,10,107289,11920,0.3707742639040349,0.3707214765100671,0.24400929996045306,0.8155275306281105,0.7564428306448784,0.2847916113996596,0.28444298590580713,0.5617041345700362,0.8085539714867617,0.6628942486085343,0.7184350979950807
