dataset,algorithm,fold,n_train,n_test,train_pos_rate,test_pos_rate,fit_seconds,roc_auc,pr_auc,brier,ece,precision_at_05,recall_at_05,f1_at_05,balanced_accuracy_at_05
philippine,LogisticRegression,4,174,19,0.15517241379310345,0.10526315789473684,0.9627260000561364,0.9705882352941176,0.8333333333333333,0.0426572808802736,0.08327146106536736,1.0,0.5,0.6666666666666666,0.75
philippine,LogisticRegression,5,174,19,0.14942528735632185,0.15789473684210525,0.9175794000038877,1.0,1.0,0.04925199687175412,0.1102592770785128,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,LogisticRegression,6,174,19,0.14942528735632185,0.15789473684210525,0.901062200020533,0.9791666666666666,0.9166666666666665,0.052783824273796166,0.11374992598593323,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,LogisticRegression,7,174,19,0.14942528735632185,0.15789473684210525,0.9954410999780521,0.9166666666666666,0.7222222222222222,0.07980284595194177,0.11185578037091047,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,LogisticRegression,8,174,19,0.14942528735632185,0.15789473684210525,1.1558730999822728,0.7083333333333333,0.3547008547008547,0.13720669036824915,0.12118305755288997,0.0,0.0,0.0,0.46875
philippine,LogisticRegression,9,174,19,0.14942528735632185,0.15789473684210525,1.2131157999974675,0.7083333333333333,0.5380952380952381,0.11062382693198355,0.09713008580290727,0.5,0.3333333333333333,0.4,0.6354166666666666
philippine,LogisticRegression,10,174,19,0.14942528735632185,0.15789473684210525,1.1577572000096552,0.7916666666666666,0.5535714285714286,0.14916119580560222,0.2291536679443498,0.25,0.3333333333333333,0.2857142857142857,0.5729166666666666
philippine,DecisionTree,1,173,20,0.15028901734104047,0.15,0.00761400000192225,0.7647058823529411,0.2727272727272727,0.2516800601013983,0.31163144209292365,0.2727272727272727,1.0,0.42857142857142855,0.7647058823529411
philippine,DecisionTree,2,173,20,0.15028901734104047,0.15,0.004268300021067262,0.7352941176470589,0.25,0.29927316486304895,0.4015165031222123,0.25,1.0,0.4,0.7352941176470589
philippine,DecisionTree,3,173,20,0.15028901734104047,0.15,0.0028661999967880547,0.9411764705882353,0.6,0.11311167522243133,0.18082402899108196,0.6,1.0,0.75,0.9411764705882353
philippine,DecisionTree,4,174,19,0.15517241379310345,0.10526315789473684,0.0023401000071316957,0.8529411764705882,0.2857142857142857,0.18858321708761086,0.28396913199455665,0.2857142857142857,1.0,0.4444444444444444,0.8529411764705883
philippine,DecisionTree,5,174,19,0.14942528735632185,0.15789473684210525,0.00410710001597181,0.96875,0.75,0.07772148561592043,0.12335434971684599,0.75,1.0,0.8571428571428571,0.96875
philippine,DecisionTree,6,174,19,0.14942528735632185,0.15789473684210525,0.003462199994828552,0.8020833333333333,0.3435897435897436,0.14833922110693862,0.14843803682563672,0.4,0.6666666666666666,0.5,0.7395833333333333
philippine,DecisionTree,7,174,19,0.14942528735632185,0.15789473684210525,0.004303299996536225,0.8020833333333333,0.3435897435897436,0.14833922110693862,0.14843803682563672,0.4,0.6666666666666666,0.5,0.7395833333333333
